Date,Open,High,Low,Close,Change %,Volume
"Oct. 28, 2011","1,284.39","1,287.08","1,277.01","1,285.09",0.04%,"4,536,690,000"
"Oct. 27, 2011","1,243.97","1,292.66","1,243.97","1,284.59",3.43%,"6,367,610,000"
"Oct. 26, 2011","1,229.17","1,246.28","1,221.06","1,242.00",1.05%,"4,873,530,000"
"Oct. 25, 2011","1,254.19","1,254.19","1,226.79","1,229.05",-2.00%,"4,473,970,000"
"Oct. 24, 2011","1,238.72","1,256.55","1,238.72","1,254.19",1.29%,"4,309,380,000"
"Oct. 21, 2011","1,215.39","1,239.03","1,215.39","1,238.25",1.88%,"4,980,770,000"
"Oct. 20, 2011","1,209.92","1,219.53","1,197.34","1,215.39",0.46%,"4,870,290,000"
"Oct. 19, 2011","1,223.46","1,229.64","1,206.31","1,209.88",-1.26%,"4,846,390,000"
"Oct. 18, 2011","1,200.75","1,233.10","1,191.48","1,225.38",2.04%,"4,840,170,000"
"Oct. 17, 2011","1,224.47","1,224.47","1,198.55","1,200.86",-1.94%,"4,300,700,000"
"Oct. 14, 2011","1,205.65","1,224.61","1,205.65","1,224.58",1.74%,"4,116,690,000"
"Oct. 13, 2011","1,206.96","1,207.46","1,190.58","1,203.66",-0.30%,"4,436,270,000"
"Oct. 12, 2011","1,196.19","1,220.25","1,196.19","1,207.25",0.98%,"5,355,360,000"
"Oct. 11, 2011","1,194.60","1,199.24","1,187.30","1,195.54",0.05%,"4,424,500,000"
"Oct. 10, 2011","1,158.15","1,194.91","1,158.15","1,194.89",3.41%,"4,446,800,000"
"Oct. 07, 2011","1,165.03","1,171.40","1,150.26","1,155.46",-0.82%,"5,580,380,000"
"Oct. 06, 2011","1,144.11","1,165.55","1,134.95","1,164.97",1.83%,"5,098,330,000"
"Oct. 05, 2011","1,124.03","1,146.07","1,115.68","1,144.03",1.79%,"2,510,620,000"
"Oct. 04, 2011","1,097.42","1,125.12","1,074.77","1,123.95",2.25%,"3,714,670,000"
"Oct. 03, 2011","1,135.21","1,138.99","1,098.92","1,099.23",-2.85%,"5,670,340,000"
"Sep. 30, 2011","1,159.93","1,159.93","1,131.34","1,131.42",-2.50%,"4,416,790,000"
"Sep. 29, 2011","1,151.74","1,175.87","1,139.93","1,160.40",0.81%,"5,285,740,000"
"Sep. 28, 2011","1,175.39","1,184.71","1,150.40","1,151.06",-2.07%,"4,787,920,000"
"Sep. 27, 2011","1,163.32","1,195.86","1,163.32","1,175.38",1.07%,"5,548,130,000"
"Sep. 26, 2011","1,136.91","1,164.19","1,131.07","1,162.95",2.33%,"4,762,830,000"
"Sep. 23, 2011","1,128.82","1,141.72","1,121.36","1,136.43",0.61%,"5,639,930,000"
"Sep. 22, 2011","1,164.55","1,164.55","1,114.22","1,129.56",-3.19%,"6,703,140,000"
"Sep. 21, 2011","1,203.63","1,206.30","1,166.21","1,166.76",-2.94%,"4,728,550,000"
"Sep. 20, 2011","1,204.50","1,220.39","1,201.29","1,202.09",-0.17%,"4,315,610,000"
"Sep. 19, 2011","1,214.99","1,214.99","1,188.36","1,204.09",-0.98%,"4,254,190,000"
"Sep. 16, 2011","1,209.21","1,220.06","1,204.46","1,216.01",0.57%,"5,248,890,000"
"Sep. 15, 2011","1,189.44","1,209.11","1,189.44","1,209.11",1.72%,"4,479,730,000"
"Sep. 14, 2011","1,173.32","1,202.38","1,162.73","1,188.68",1.35%,"4,986,740,000"
"Sep. 13, 2011","1,162.59","1,176.41","1,157.44","1,172.87",0.91%,"4,681,370,000"
"Sep. 12, 2011","1,153.50","1,162.52","1,136.07","1,162.27",0.70%,"5,168,550,000"
"Sep. 09, 2011","1,185.37","1,185.37","1,148.37","1,154.23",-2.67%,"4,586,370,000"
"Sep. 08, 2011","1,197.98","1,204.40","1,183.34","1,185.90",-1.06%,"4,465,170,000"
"Sep. 07, 2011","1,165.85","1,198.62","1,165.85","1,198.62",2.86%,"4,441,040,000"
"Sep. 06, 2011","1,173.97","1,173.97","1,140.13","1,165.24",-0.74%,"5,103,980,000"
"Sep. 02, 2011","1,203.90","1,203.90","1,170.56","1,173.97",-2.53%,"4,401,740,000"
"Sep. 01, 2011","1,219.12","1,229.29","1,203.85","1,204.42",-1.19%,"4,780,410,000"
"Aug. 31, 2011","1,213.00","1,230.71","1,209.35","1,218.89",0.49%,"5,267,840,000"
"Aug. 30, 2011","1,209.76","1,220.10","1,195.77","1,212.92",0.23%,"4,572,570,000"
"Aug. 29, 2011","1,177.91","1,210.28","1,177.91","1,210.08",2.83%,"4,228,070,000"
"Aug. 26, 2011","1,158.85","1,181.23","1,135.91","1,176.80",1.51%,"5,035,320,000"
"Aug. 25, 2011","1,176.69","1,190.68","1,155.47","1,159.27",-1.56%,"5,748,420,000"
"Aug. 24, 2011","1,162.16","1,178.56","1,156.30","1,177.60",1.31%,"5,315,310,000"
"Aug. 23, 2011","1,124.36","1,162.35","1,124.36","1,162.35",3.43%,"5,013,170,000"
"Aug. 22, 2011","1,123.55","1,145.49","1,121.09","1,123.82",0.03%,"5,436,260,000"
"Aug. 19, 2011","1,140.47","1,154.54","1,122.05","1,123.53",-1.50%,"5,167,560,000"
"Aug. 18, 2011","1,189.62","1,189.62","1,131.03","1,140.65",-4.46%,"3,234,810,000"
"Aug. 17, 2011","1,192.89","1,208.47","1,184.36","1,193.89",0.09%,"4,388,340,000"
"Aug. 16, 2011","1,204.22","1,204.22","1,180.53","1,192.76",-0.97%,"5,071,600,000"
"Aug. 15, 2011","1,178.86","1,204.49","1,178.86","1,204.49",2.18%,"4,272,850,000"
"Aug. 12, 2011","1,172.87","1,189.04","1,170.74","1,178.81",0.53%,"5,640,380,000"
"Aug. 11, 2011","1,121.30","1,186.29","1,121.30","1,172.64",4.63%,"3,685,050,000"
"Aug. 10, 2011","1,171.77","1,171.77","1,118.01","1,120.76",-4.42%,"5,018,070,000"
"Aug. 09, 2011","1,120.23","1,172.88","1,101.54","1,172.53",4.74%,"2,366,660,000"
"Aug. 08, 2011","1,198.48","1,198.48","1,119.28","1,119.46",-6.66%,"2,615,150,000"
